"Latitude (decimal degrees):	30.061",,,,,,,,
"Longitude (decimal degrees):	76.760",,,,,,,,
"Elevation (m):	256",,,,,,,,
"Radiation database:	PVGIS-ERA5",,,,,,,,
,,,,,,,,
,,,,,,,,
Slope: 29 deg. ,,,,,,,,
Azimuth: 0 deg. ,,,,,,,,
"Nominal power of the PV system (c-Si) (kWp):	5.0",,,,,,,,
"System losses (%):	14.0",,,,,,,,
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20150108:1430,0,0,0,0,0,13,1.93,0
20150108:1530,0,0,0,0,0,11.88,1.86,0
20150108:1630,0,0,0,0,0,10.69,1.79,0
20150108:1730,0,0,0,0,0,9.86,1.72,0
20150108:1830,0,0,0,0,0,9.01,1.79,0
20150108:1930,0,0,0,0,0,9.67,1.93,0
20150108:2030,0,0,0,0,0,9.54,2,0
20150108:2130,0,0,0,0,0,9.4,2,0
20150108:2230,0,0,0,0,0,9.27,2,0
20150108:2330,0,0,0,0,0,8.92,2.07,0
20150109:0030,0,0,0,0,0,8.44,2.07,0
20150109:0130,0,0,0,0,-4.77,8.27,1.86,0
20150109:0230,634.15,117.39,52,0.96,6.83,7.98,1.66,0
20150109:0330,1534.65,252.09,113.55,2.83,17.47,8.82,1.59,0
20150109:0430,2281,378.25,165.3,4.61,26.62,10.47,1.45,0
20150109:0530,2771.7,486.64,187.1,5.9,33.54,12.58,1.38,0
20150109:0630,2659.35,368.5,282.08,6.21,37.34,14.34,1.66,0
20150109:0730,3286.55,643.19,172.96,7.09,37.32,14.56,1.66,0
20150109:0830,3345.2,703.58,128.6,6.95,33.5,15.83,2.07,0
20150109:0930,2730.5,551.23,121.45,5.38,26.56,16.56,1.93,0
20150109:1030,1846.85,361.95,92.95,3.27,17.4,16.75,2,0
20150109:1130,706.9,146.36,47.97,1.01,6.75,16.37,2.21,0
20150109:1230,0,0,0,0,-4.85,14.86,2.21,0
20150109:1330,0,0,0,0,0,12.85,2.48,0
20150109:1430,0,0,0,0,0,11.56,2.48,0
20150109:1530,0,0,0,0,0,10.56,2.48,0
20150109:1630,0,0,0,0,0,9.79,2.41,0
20150109:1730,0,0,0,0,0,9.14,2.41,0
20150109:1830,0,0,0,0,0,8.65,2.55,0
20150109:1930,0,0,0,0,0,8.82,2.34,0
20150109:2030,0,0,0,0,0,8.57,2.48,0
20150109:2130,0,0,0,0,0,8.17,2.48,0
20150109:2230,0,0,0,0,0,8.03,2.62,0
20150109:2330,0,0,0,0,0,7.71,2.69,0
20150110:0030,0,0,0,0,0,7.58,2.76,0
20150110:0130,0,0,0,0,-4.78,7.6,2.76,0
20150110:0230,361.2,60.45,42.62,0.71,6.84,7.63,2.9,0
20150110:0330,969.35,122.05,111.96,2.11,17.5,8.37,3.86,0
20150110:0430,1590.2,201.27,170.83,3.52,26.68,9.69,4,0
20150110:0530,2172.2,270.97,239.01,4.95,33.64,11.12,3.79,0
20150110:0630,2373.9,273.01,290.5,5.66,37.47,12.72,3.72,0
20150110:0730,3114.35,504.53,241.96,6.76,37.48,12.79,3.59,0
20150110:0830,3201.95,598.31,173.64,6.6,33.67,14.28,3.79,0
20150110:0930,2860.25,574.17,114.46,5.5,26.73,15.3,3.86,0
20150110:1030,1959,381.1,93.83,3.41,17.56,15.85,3.86,0
20150110:1130,742,152.02,49.52,1.05,6.92,15.66,3.59,0
20150110:1230,0,0,0,0,-4.7,14.19,2.83,0
20150110:1330,0,0,0,0,0,12.31,2.9,0
20150110:1430,0,0,0,0,0,11.27,2.76,0
20150110:1530,0,0,0,0,0,10.48,2.69,0
20150110:1630,0,0,0,0,0,9.83,2.48,0
20150110:1730,0,0,0,0,0,9.25,2.34,0
20150110:1830,0,0,0,0,0,8.7,2.21,0
20150110:1930,0,0,0,0,0,8.18,2.14,0
20150110:2030,0,0,0,0,0,7.95,2.14,0
20150110:2130,0,0,0,0,0,7.9,2.14,0
20150110:2230,0,0,0,0,0,7.94,2,0
20150110:2330,0,0,0,0,0,7.88,1.86,0
20150111:0030,0,0,0,0,0,8,1.79,0
20150111:0130,0,0,0,0,-4.78,8.19,2.07,0
20150111:0230,149.8,16.52,33.73,0.49,6.86,8.22,2.28,0
20150111:0330,389.45,12.09,93.16,1.31,17.54,8.66,2.55,0
20150111:0430,858.2,64.87,144.96,2.34,26.75,9.45,2.69,0
20150111:0530,1336,113.83,204.16,3.48,33.74,10.47,2.76,0
20150111:0630,1885.1,195.42,251.39,4.67,37.61,12,3.03,0
20150111:0730,2376.9,291.65,274.03,5.61,37.64,12.99,3.38,0
20150111:0830,2685.45,425.19,220.01,5.82,33.85,14.35,3.24,0
20150111:0930,2548.6,459.02,157.06,5.1,26.91,15.57,3.03,0
20150111:1030,1761.55,319.63,111.47,3.22,17.74,16.33,2.62,0
20150111:1130,667.9,132.12,51.78,1.02,7.08,16.32,1.86,0
20150111:1230,0,0,0,0,-4.55,15.46,1.1,0
20150111:1330,0,0,0,0,0,13.32,0.97,0
20150111:1430,0,0,0,0,0,10.92,1.59,0
20150111:1530,0,0,0,0,0,9.54,1.93,0
20150111:1630,0,0,0,0,0,8.94,2.28,0
20150111:1730,0,0,0,0,0,8.72,2.34,0
20150111:1830,0,0,0,0,0,8.44,2.21,0
20150111:1930,0,0,0,0,0,8.22,1.52,0
20150111:2030,0,0,0,0,0,7.62,1.24,0
20150111:2130,0,0,0,0,0,7.36,1.1,0
20150111:2230,0,0,0,0,0,6.97,0.97,0
20150111:2330,0,0,0,0,0,7.01,0.76,0
20150112:0030,0,0,0,0,0,7.17,0.62,0
20150112:0130,0,0,0,0,-4.77,7.17,0.62,0
20150112:0230,105.9,1.3,36.61,0.49,6.88,7.12,0.41,0
20150112:0330,397.3,4.51,102.57,1.39,17.59,7.62,0.28,0
20150112:0430,1163.3,90.99,189.36,3.07,26.83,8.57,0.41,0
20150112:0530,1432.3,108.44,236.35,3.85,33.85,10.26,0.55,0
20150112:0630,1949.55,226.31,243.67,4.8,37.75,11.8,0.69,0
20150112:0730,2216.85,293.17,248.86,5.33,37.82,12.77,0.28,0
20150112:0830,1916.45,284.64,181.75,4.41,34.03,13.86,0.41,0
20150112:0930,1710.75,240.32,176.78,3.86,27.09,14.34,0.62,0
20150112:1030,1291.4,210.24,109.36,2.59,17.91,14.77,0.62,0
20150112:1130,460.2,89.56,41.93,0.81,7.24,14.72,0.69,0
20150112:1230,0,0,0,0,-4.39,14.31,0.62,0
20150112:1330,0,0,0,0,0,13.23,0.83,0
20150112:1430,0,0,0,0,0,12.04,1.17,0
20150112:1530,0,0,0,0,0,10.81,1.52,0
20150112:1630,0,0,0,0,0,10.63,1.86,0
20150112:1730,0,0,0,0,0,10.29,2.07,0
20150112:1830,0,0,0,0,0,10.13,2.14,0
20150112:1930,0,0,0,0,0,9.95,1.93,0
20150112:2030,0,0,0,0,0,9.55,2.07,0
20150112:2130,0,0,0,0,0,9.09,2.07,0
20150112:2230,0,0,0,0,0,8.54,2.07,0
20150112:2330,0,0,0,0,0,8.01,2,0
20150113:0030,0,0,0,0,0,7.51,1.93,0
20150113:0130,0,0,0,0,-4.76,6.96,1.93,0
20150113:0230,489,76.51,56.54,0.9,6.91,6.52,1.72,0
20150113:0330,1180.45,146.04,137.73,2.54,17.64,8,1.17,0
20150113:0430,1814.1,214.67,217.95,4.16,26.91,10.59,1.38,0
20150113:0530,2709.25,428.26,227.8,5.95,33.97,12.83,1.79,0
20150113:0630,3225.2,595.16,195.54,7,37.9,14.84,2.55,0
20150113:0730,3657.8,754.03,154.35,7.84,37.99,15.43,2.76,0
20150113:0830,3504.55,751.54,116.91,7.29,34.22,16.74,3.03,0
20150113:0930,2847.4,579.55,118.68,5.63,27.28,17.53,3.03,0
20150113:1030,1924.9,380.47,93.06,3.46,18.09,17.67,2.69,0
20150113:1130,710.9,143.72,51.47,1.09,7.41,17.38,2,0
20150113:1230,0,0,0,0,-4.23,16.32,1.38,0
20150113:1330,0,0,0,0,0,14.69,1.72,0
20150113:1430,0,0,0,0,0,13.16,2.62,0
20150113:1530,0,0,0,0,0,12.37,2.69,0
20150113:1630,0,0,0,0,0,11.8,2.97,0
20150113:1730,0,0,0,0,0,11.43,3.1,0
20150113:1830,0,0,0,0,0,10.92,3.38,0
20150113:1930,0,0,0,0,0,11.55,3.52,0
20150113:2030,0,0,0,0,0,11.46,3.93,0
20150113:2130,0,0,0,0,0,11.2,3.59,0
20150113:2230,0,0,0,0,0,11.01,3.52,0
20150113:2330,0,0,0,0,0,10.98,3.31,0
20150114:0030,0,0,0,0,0,10.82,3.17,0
20150114:0130,0,0,0,0,-4.75,10.63,2.76,0
20150114:0230,331.7,61.88,35.81,0.65,6.95,10.46,2.48,0
20150114:0330,655.15,56.76,109.95,1.76,17.7,11.07,2.41,0
20150114:0430,1001.35,92.62,152.08,2.62,27,12.37,2.55,0
20150114:0530,1238.05,99.23,200.33,3.35,34.09,13.3,2.9,0
20150114:0630,1075.15,77.24,185.97,3.04,38.06,14.09,2.97,0
20150114:0730,1053.45,119.07,137.82,2.74,38.18,14.61,3.52,0
20150114:0830,1007.4,147.84,97.6,2.42,34.41,14.92,4.07,0
20150114:0930,981.65,153.68,86.07,2.23,27.47,14.83,4.55,0
20150114:1030,805.55,120.91,81.66,1.78,18.27,14.82,4.41,0
20150114:1130,318.4,61.64,33.82,0.65,7.58,14.63,3.38,0
20150114:1230,0,0,0,0,-4.07,13.81,2.69,0
20150114:1330,0,0,0,0,0,13.07,2.55,0
20150114:1430,0,0,0,0,0,12.33,2.55,0
20150114:1530,0,0,0,0,0,11.46,2.62,0
20150114:1630,0,0,0,0,0,11.05,2.62,0
20150114:1730,0,0,0,0,0,10.5,2.48,0
20150114:1830,0,0,0,0,0,9.77,2.28,0
20150114:1930,0,0,0,0,0,9.04,2.07,0
20150114:2030,0,0,0,0,0,8.37,2.07,0
20150114:2130,0,0,0,0,0,7.74,2,0
20150114:2230,0,0,0,0,0,7.19,1.86,0
20150114:2330,0,0,0,0,0,6.62,1.72,0
20150115:0030,0,0,0,0,0,6.09,1.72,0
20150115:0130,0,0,0,0,-4.73,5.81,1.79,0
20150115:0230,786.6,153.32,51.53,1.1,6.99,5.55,1.86,0
20150115:0330,1965.85,375.08,92.34,3.42,17.76,7.67,1.1,0
20150115:0430,2829.2,583.2,110.17,5.59,27.09,12.47,0.97,0
20150115:0530,3358.35,728.84,121.84,7.18,34.22,15.37,0.97,0
20150115:0630,3633.2,817.62,124.03,8.1,38.23,16.95,0.9,0
20150115:0730,3565.1,809.74,127.88,8.07,38.37,18.05,0.48,0
20150115:0830,3242.15,728.13,121.84,7.2,34.61,18.65,0.14,0
20150115:0930,2751.5,589.51,110.77,5.68,27.66,18.92,0.62,0
20150115:1030,1866.5,371.19,95.92,3.47,18.46,18.86,1.17,0
20150115:1130,758.9,154.3,53.52,1.18,7.76,18.3,1.66,0
20150115:1230,0,0,0,0,-3.9,16.62,2.34,0
20150115:1330,0,0,0,0,0,14.43,2.62,0
20150115:1430,0,0,0,0,0,13.14,2.62,0
20150115:1530,0,0,0,0,0,12.21,2.69,0
20150115:1630,0,0,0,0,0,11.42,2.69,0
20150115:1730,0,0,0,0,0,10.74,2.69,0
20150115:1830,0,0,0,0,0,10.2,2.69,0
20150115:1930,0,0,0,0,0,10.01,2.69,0
20150115:2030,0,0,0,0,0,9.54,2.55,0
20150115:2130,0,0,0,0,0,9.07,2.55,0
20150115:2230,0,0,0,0,0,8.72,2.48,0
20150115:2330,0,0,0,0,0,8.36,2.48,0
20150116:0030,0,0,0,0,0,8.03,2.41,0
20150116:0130,0,0,0,0,-4.7,7.72,2.41,0
20150116:0230,765.2,149.62,51.53,1.09,7.03,7.46,2.41,0
20150116:0330,1954.8,370.06,93.53,3.41,17.83,8.74,2,0
20150116:0430,2875.2,575.78,114.73,5.6,27.19,11.63,2.21,0
20150116:0530,3422.9,724.59,123.72,7.19,34.36,14.08,1.86,0
20150116:0630,3622.4,794.51,127.28,7.96,38.4,16.12,1.45,0
20150116:0730,3551.45,786.37,135.35,7.98,38.56,17.22,0.76,0
20150116:0830,3200.05,699.68,122,7,34.81,18.25,0.76,0
20150116:0930,2754.6,586.78,110.32,5.68,27.86,18.82,0.9,0
20150116:1030,1858.45,368.27,96.8,3.48,18.64,19.05,1.24,0
20150116:1130,738.4,149.96,52.9,1.18,7.94,18.7,1.59,0
20150116:1230,0,0,0,0,-3.74,17.39,2,0
20150116:1330,0,0,0,0,0,15.42,2.34,0
20150116:1430,0,0,0,0,0,14,2.21,0
20150116:1530,0,0,0,0,0,12.98,2.14,0
20150116:1630,0,0,0,0,0,11.98,2.14,0
20150116:1730,0,0,0,0,0,11.16,2.21,0
20150116:1830,0,0,0,0,0,10.54,2.21,0
20150116:1930,0,0,0,0,0,10.02,2.21,0
20150116:2030,0,0,0,0,0,9.65,2.28,0
20150116:2130,0,0,0,0,0,9.3,2.28,0
20150116:2230,0,0,0,0,0,8.98,2.41,0
20150116:2330,0,0,0,0,0,8.77,2.41,0
20150117:0030,0,0,0,0,0,8.54,2.34,0
20150117:0130,0,0,0,0,-4.67,8.22,2.21,0
20150117:0230,677.7,120.58,59.18,1.07,7.08,7.88,2.21,0
20150117:0330,1795.35,305.94,121.75,3.29,17.91,8.99,1.59,0
20150117:0430,2666.35,481.31,162.83,5.39,27.3,12.12,1.66,0
20150117:0530,3304.9,652.15,169.4,7.08,34.5,14.67,1.72,0
20150117:0630,3612.1,750.24,163.15,7.97,38.58,16.74,2,0
20150117:0730,3612.05,762.17,158.26,8.03,38.76,17.69,1.86,0
20150117:0830,3371.15,711.74,138.37,7.27,35.02,18.71,2.28,0
20150117:0930,2828.55,587.72,115.55,5.75,28.06,19.26,2.48,0
20150117:1030,1947.3,388.17,94.89,3.61,18.83,19.39,2.55,0
20150117:1130,805.05,164.32,54.82,1.27,8.11,18.95,2.34,0
20150117:1230,0,0,0,0,-3.57,17.37,2.34,0
20150117:1330,0,0,0,0,0,15.13,2.69,0
20150117:1430,0,0,0,0,0,13.63,2.62,0
20150117:1530,0,0,0,0,0,12.63,2.62,0
20150117:1630,0,0,0,0,0,11.79,2.62,0
20150117:1730,0,0,0,0,0,11.07,2.62,0
20150117:1830,0,0,0,0,0,10.47,2.62,0
20150117:1930,0,0,0,0,0,9.99,2.21,0
20150117:2030,0,0,0,0,0,9.55,2.28,0
20150117:2130,0,0,0,0,0,9.13,2.34,0
20150117:2230,0,0,0,0,0,8.76,2.41,0
20150117:2330,0,0,0,0,0,8.46,2.34,0
20150118:0030,0,0,0,0,0,8.16,2.34,0
20150118:0130,0,0,0,0,-4.64,7.84,2.28,0
20150118:0230,817.95,160.33,53.81,1.16,7.14,7.53,2.21,0
20150118:0330,2042.65,390.74,95.86,3.59,17.99,8.67,1.52,0
20150118:0430,2941,604.13,111.16,5.81,27.41,12.36,1.66,0
20150118:0530,3517.65,759.23,119.18,7.46,34.66,15.04,1.93,0
20150118:0630,3773.35,825.89,128.98,8.28,38.76,17.03,2.34,0
20150118:0730,3782.9,830.82,127.32,8.31,38.97,17.35,2.41,0
20150118:0830,3433,717.96,141.89,7.38,35.24,18.33,2.76,0
20150118:0930,2905.35,605.63,112.59,5.89,28.27,18.82,2.97,0
20150118:1030,1994.85,397.12,94.79,3.69,19.03,18.84,3.03,0
20150118:1130,827.8,167.72,56.1,1.31,8.29,18.33,2.55,0
20150118:1230,0,0,0,0,-3.4,16.71,2.34,0
20150118:1330,0,0,0,0,0,14.68,2.55,0
20150118:1430,0,0,0,0,0,13.26,2.41,0
20150118:1530,0,0,0,0,0,12.17,2.34,0
20150118:1630,0,0,0,0,0,11.2,2.21,0
20150118:1730,0,0,0,0,0,10.17,1.93,0
20150118:1830,0,0,0,0,0,9.13,1.86,0
20150118:1930,0,0,0,0,0,8.62,1.24,0
20150118:2030,0,0,0,0,0,7.42,1.59,0
